#T_e[K]	nu_ee_Fourment[1/s]	nu_ee_Kirkwood[1/s]	nu_ei[1/s]	nu_c[1/s]	nu_tot_Fourment[1/s]	nu_tot_Kirkwood[1/s]
4.474547454745475e+02	0.000000000000000e+00	9.636876880750707e+11	4.830917874396136e+14	1.730654383151049e+16	4.830917874396136e+14	4.840554751276886e+14
4.484248424842484e+02	0.000000000000000e+00	9.678708327144762e+11	4.830917874396136e+14	1.730659512776061e+16	4.830917874396136e+14	4.840596582723281e+14
4.493949394939494e+02	0.000000000000000e+00	9.720630367323082e+11	4.830917874396136e+14	1.730664642385868e+16	4.830917874396136e+14	4.840638504763459e+14
4.503650365036503e+02	0.000000000000000e+00	9.762643001285660e+11	4.830917874396136e+14	1.730669771980472e+16	4.830917874396136e+14	4.840680517397421e+14
4.513351335133514e+02	0.000000000000000e+00	9.804746229032509e+11	4.830917874396136e+14	1.730674901559871e+16	4.830917874396136e+14	4.840722620625168e+14
4.523052305230523e+02	0.000000000000000e+00	9.846940050563612e+11	4.830917874396136e+14	1.730680031124067e+16	4.830917874396136e+14	4.840764814446699e+14
4.532753275327533e+02	0.000000000000000e+00	9.889224465878983e+11	4.830917874396136e+14	1.730685160673060e+16	4.830917874396136e+14	4.840807098862014e+14
4.542454245424543e+02	0.000000000000000e+00	9.931599474978615e+11	4.830917874396136e+14	1.730690290206849e+16	4.830917874396136e+14	4.840849473871114e+14
4.552155215521552e+02	0.000000000000000e+00	9.974065077862506e+11	4.830917874396136e+14	1.730695419725435e+16	4.830917874396136e+14	4.840891939473998e+14
4.561856185618562e+02	0.000000000000000e+00	1.001662127453066e+12	4.830917874396136e+14	1.730700549228818e+16	4.830917874396136e+14	4.840934495670666e+14
4.571557155715572e+02	0.000000000000000e+00	1.005926806498308e+12	4.830917874396136e+14	1.730705678716998e+16	4.830917874396136e+14	4.840977142461119e+14
4.581258125812581e+02	0.000000000000000e+00	1.010200544921976e+12	4.830917874396136e+14	1.730710808189976e+16	4.830917874396136e+14	4.841019879845356e+14
4.590959095909591e+02	0.000000000000000e+00	1.014483342724071e+12	4.830917874396136e+14	1.730715937647750e+16	4.830917874396136e+14	4.841062707823376e+14
4.600660066006601e+02	0.000000000000000e+00	1.018775199904591e+12	4.830917874396136e+14	1.730721067090322e+16	4.830917874396136e+14	4.841105626395181e+14
4.610361036103610e+02	0.000000000000000e+00	1.023076116463538e+12	4.830917874396136e+14	1.730726196517692e+16	4.830917874396136e+14	4.841148635560771e+14
4.620062006200620e+02	0.000000000000000e+00	1.027386092400911e+12	4.830917874396136e+14	1.730731325929859e+16	4.830917874396136e+14	4.841191735320145e+14
4.629762976297629e+02	0.000000000000000e+00	1.031705127716710e+12	4.830917874396136e+14	1.730736455326825e+16	4.830917874396136e+14	4.841234925673302e+14
4.639463946394640e+02	0.000000000000000e+00	1.036033222410936e+12	4.830917874396136e+14	1.730741584708588e+16	4.830917874396136e+14	4.841278206620245e+14
4.649164916491649e+02	0.000000000000000e+00	1.040370376483588e+12	4.830917874396136e+14	1.730746714075149e+16	4.830917874396136e+14	4.841321578160971e+14
4.658865886588659e+02	0.000000000000000e+00	1.044716589934666e+12	4.830917874396136e+14	1.730751843426509e+16	4.830917874396136e+14	4.841365040295482e+14
4.668566856685669e+02	0.000000000000000e+00	1.049071862764170e+12	4.830917874396136e+14	1.730756972762667e+16	4.830917874396136e+14	4.841408593023778e+14
4.678267826782678e+02	0.000000000000000e+00	1.053436194972101e+12	4.830917874396136e+14	1.730762102083624e+16	4.830917874396136e+14	4.841452236345857e+14
